Id,Year,Month,CrashHour,LAT,LON,TotalVehicles,CrashSeverity,AllOccupantsRestrained,TrucksInvolved,Speeding,TooFast,IsAlcoholOrDrugsInvolved,TeenDriver,DistractedDriver,FailedToYield,Weather,GravelRoadSurface,RollOver,IntersectionRelated,CurveLocation,HillLocation,RunOffRoad,LaneDeparture,HeadOnImpact,RearEnd
1,2011,1,1         ,47.29,-101.02,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
2,2011,1,15        ,46.8546,-96.8644,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,2011,1,19        ,46.8969,-96.7936,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2011,1,1         ,48.842,-99.7367,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
5,2011,1,17        ,46.9753,-96.8832,1,2,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0
6,2011,1,19        ,47.889388,-97.073187,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
7,2011,1,3         ,46.832153,-96.914903,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2011,1,14        ,46.8774,-102.3461,1,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
9,2011,1,15        ,46.8772,-102.565,1,2,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0
10,2011,1,18        ,47.2461,-97.0144,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,2011,1,13        ,48.15113,-103.62718,2,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
12,2011,1,20        ,47.576,-103.966,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
13,2011,1,7         ,46.8052,-100.774,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,2011,1,15        ,48.4158,-97.4112,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
15,2011,1,7         ,46.9049,-96.8226,2,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
16,2011,1,11        ,46.8327,-96.8038,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,2011,1,15        ,46.7937,-100.7782,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
18,2011,1,20        ,46.8152,-100.7709,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,2011,1,17        ,47.7469,-103.2832,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
20,2011,1,15        ,46.8832,-96.7937,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
21,2011,1,17        ,46.8791,-96.8167,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2011,1,17        ,46.8952,-96.7831,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,2011,1,15        ,46.8472,-96.7991,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2011,1,6         ,46.8698,-96.8141,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,2011,1,14        ,46.8529,-100.8447,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
26,2011,1,17        ,46.9194,-98.018,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
27,2011,1,17        ,47.3294,-102.3353,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
28,2011,1,2         ,48.2806,-97.1889,1,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
29,2011,1,17        ,46.8569,-96.8361,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30,2011,1,2         ,46.8441,-96.8619,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
31,2011,1,14        ,46.862475,-96.899602,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,2011,1,18        ,46.876299,-96.897849,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
33,2011,1,12        ,46.8318,-100.7729,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
34,2011,1,14        ,46.8497,-100.7911,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35,2011,1,23        ,48.0079,-101.2919,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0
36,2011,1,16        ,48.1087,-98.8559,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37,2011,1,15        ,46.8935,-98.7284,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,2011,1,18        ,46.8146,-96.8629,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2011,1,22        ,46.8596,-96.7984,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40,2011,1,7         ,46.8369,-96.8358,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,2011,1,11        ,46.8591,-96.8361,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,2011,1,7         ,46.8808,-102.5814,1,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
43,2011,1,23        ,47.171939,-100.799819,1,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
44,2011,1,18        ,46.8583,-96.8593,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
45,2011,1,9         ,46.8907,-98.6714,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0
46,2011,1,2         ,46.866392,-96.886077,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47,2011,1,11        ,46.8774,-99.469,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
48,2011,1,7         ,48.3108,-101.2955,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
49,2011,1,10        ,46.8624,-100.1985,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
50,2011,1,20        ,46.8697,-96.804,2,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
51,2011,1,18        ,46.8122,-96.8043,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
52,2011,1,13        ,46.8326,-100.7806,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,2011,1,4         ,46.56457,-96.82279,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
54,2011,1,20        ,48.342,-102.951,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
55,2011,1,10        ,46.8624,-101.1382,1,2,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0
56,2011,1,0         ,47.2517,-100.9644,1,2,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
57,2011,1,1         ,48.2543,-101.4071,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0
58,2011,1,22        ,48.4565,-103.1898,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
59,2011,1,8         ,46.8623,-101.6739,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
60,2011,1,1         ,47.918226,-97.041014,1,2,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
61,2011,1,0         ,47.918205,-97.088538,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
62,2011,1,13        ,46.9135,-96.8238,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
63,2011,1,1         ,47.91948,-97.066132,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
64,2011,1,2         ,48.1783,-97.8604,1,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0
65,2011,1,9         ,46.8634,-101.9747,1,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
66,2011,1,6         ,46.8923,-98.3647,1,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
67,2011,1,10        ,46.4777,-100.9028,1,2,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0
68,2011,1,9         ,46.847102,-96.90778,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
69,2011,1,5         ,47.194747,-102.778463,1,2,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0
70,2011,1,9         ,47.93316,-97.058791,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71,2011,1,9         ,47.890571,-97.077485,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2011,1,15        ,46.9159,-98.7118,2,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
73,2011,1,10        ,47.8047,-103.4608,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
74,2011,1,20        ,48.1403,-103.8138,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
75,2011,1,1         ,47.9331,-97.3024,1,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
76,2011,1,3         ,48.478475,-101.813404,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
77,2011,1,7         ,48.2489,-101.2951,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0
78,2011,1,2         ,48.1047,-98.859,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
79,2011,1,13        ,47.646,-99.6372,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80,2011,1,11        ,48.0571,-101.2961,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
81,2011,1,10        ,46.8866,-99.1641,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
82,2011,1,14        ,46.9052,-102.7975,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
83,2011,1,6         ,48.31459,-102.3409,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
84,2011,1,12        ,48.34254,-103.2253,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
85,2011,1,8         ,47.2993,-101.4031,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0
86,2011,1,8         ,46.818,-100.7769,4,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
87,2011,1,6         ,46.8891,-100.7716,1,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0
88,2011,1,12        ,46.8615,-101.4949,1,2,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0
89,2011,1,11        ,46.8619,-101.7144,1,2,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0
90,2011,1,17        ,46.890745,-96.890531,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
91,2011,1,13        ,47.889368,-97.073195,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
92,2011,1,12        ,46.9212,-98.0161,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
93,2011,1,16        ,46.9208,-98.6979,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2011,1,7         ,46.899,-98.7051,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
95,2011,1,14        ,47.6464,-101.6748,2,2,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
96,2011,1,19        ,47.5989,-97.0693,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
97,2011,1,13        ,46.8137,-96.873,2,2,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
98,2011,1,22        ,46.8774,-96.7982,2,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
99,2011,1,19        ,46.8481,-96.8264,2,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
100,2011,1,9         ,46.8543,-96.7978,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,2011,1,10        ,46.8173,-96.83922,1,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0
102,2011,1,15        ,47.890408,-97.055945,2,2,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
103,2011,1,13        ,46.8313,-100.7863,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
104,2011,1,2         ,46.8326,-96.8128,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
105,2011,1,16        ,47.8641,-103.9119,2,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
106,2011,1,14        ,46.8262,-100.8066,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
107,2011,1,2         ,47.909165,-97.055585,2,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
108,2011,1,14        ,47.913033,-97.041936,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
109,2011,1,16        ,46.9087,-96.798,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2011,1,15        ,46.8602,-96.8619,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,2011,1,11        ,48.2417,-101.2961,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
112,2011,1,11        ,48.2325,-101.2961,2,2,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
113,2011,1,21        ,47.923319,-97.05378,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
114,2011,1,13        ,46.875,-96.7982,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,2011,1,22        ,46.8327,-96.8424,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
116,2011,1,1         ,46.809,-100.8166,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0
117,2011,1,9         ,46.7322,-98.8159,1,2,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
118,2011,1,19        ,48.8058,-100.0383,2,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
119,2011,1,14        ,46.8613,-101.4758,2,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
120,2011,1,15        ,47.4731,-101.7726,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
121,2011,1,15        ,46.795,-100.788,2,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
