FireIncidentAddress,FireIncidentAlarmDateTime,FireIncidentApparatusApparatus,FireIncidentApparatusClearTime,FireIncidentApparatusDispatchTime,FireIncidentApparatusEnrouteTime,FireIncidentArrivalDateTime,FireIncidentIncidentType,FireIncidentShift,FireIncidentStation,
400 BROADWAY N,01/01/2017 01:40:32,801,01/01/2017 01:53:09,01/01/2017 01:42:24,01/01/2017 01:43:30,01/01/2017 01:45:13,"EMS call, excluding vehicle acci",A Shift,Fargo Station 1,
2602 18 ST S,01/01/2017 02:01:37,BATT2,01/01/2017 02:12:55,01/01/2017 02:02:08,01/01/2017 02:03:45,01/01/2017 02:06:26,Smoke detector activation due to,A Shift,Fargo Station 2,
2602 18 ST S,01/01/2017 02:01:37,TRUCK2,01/01/2017 02:11:12,01/01/2017 02:02:08,01/01/2017 02:04:02,01/01/2017 02:06:26,Smoke detector activation due to,A Shift,Fargo Station 2,
2602 18 ST S,01/01/2017 02:01:37,807,01/01/2017 02:11:07,01/01/2017 02:02:08,01/01/2017 02:03:34,01/01/2017 02:06:26,Smoke detector activation due to,A Shift,Fargo Station 2,
2602 18 ST S,01/01/2017 02:01:37,805,01/01/2017 02:11:08,01/01/2017 02:02:08,01/01/2017 02:03:30,01/01/2017 02:06:26,Smoke detector activation due to,A Shift,Fargo Station 2,
2602 18 ST S,01/01/2017 02:01:37,804,01/01/2017 02:11:07,01/01/2017 02:02:08,01/01/2017 02:03:05,01/01/2017 02:06:26,Smoke detector activation due to,A Shift,Fargo Station 2,
2602 18 ST S,01/01/2017 02:01:37,802,01/01/2017 02:18:41,01/01/2017 02:02:08,01/01/2017 02:03:26,01/01/2017 02:06:26,Smoke detector activation due to,A Shift,Fargo Station 2,
504 3 AVE N,01/01/2017 02:01:48,801,01/01/2017 02:12:24,01/01/2017 02:02:39,01/01/2017 02:03:30,01/01/2017 02:05:32,"Medical assist, assist EMS crew",A Shift,Fargo Station 1,
8 7 ST N,01/01/2017 02:07:12,803,01/01/2017 02:13:06,01/01/2017 02:08:13,01/01/2017 02:09:13,01/01/2017 02:16:28,"Medical assist, assist EMS crew",A Shift,Fargo Station 1,
8 7 ST N,01/01/2017 02:07:12,801,01/01/2017 02:42:20,01/01/2017 02:13:06,01/01/2017 02:13:13,01/01/2017 02:16:28,"Medical assist, assist EMS crew",A Shift,Fargo Station 1,
4345 10 AVE S,01/01/2017 02:28:53,805,01/01/2017 02:51:51,01/01/2017 02:30:52,01/01/2017 02:32:00,01/01/2017 02:35:07,"EMS call, excluding vehicle acci",A Shift,Fargo Station 5,
